,0
1216,JHU-002295
1217,JHU-002356
1218,JHU-002387
1219,JHU-002326
1220,JHU-002338
1221,JHU-002343
1222,JHU-002389
1223,JHU-002331
1224,JHU-002366
1225,JHU-002379
1226,JHU-002395
1227,JHU-002399
1228,JHU-002378
1229,JHU-002315
1230,JHU-002382
1231,JHU-002340
1232,JHU-002322
1233,JHU-002334
1234,JHU-002299
1235,JHU-002394
1236,JHU-002325
1237,JHU-002312
1238,JHU-002345
1239,JHU-002317
1240,JHU-002320
1241,JHU-002365
1242,JHU-002358
1243,JHU-002353
1244,JHU-002328
1245,JHU-002307
1246,JHU-002314
1247,JHU-002361
1248,JHU-002313
1249,JHU-002374
1250,JHU-002348
1251,JHU-002310
1252,JHU-007633
1253,JHU-007671
1254,JHU-007666
1255,JHU-007647
1256,JHU-007634
1257,JHU-007626
1258,JHU-007627
1259,JHU-007660
1260,JHU-007635
1261,JHU-004446
1262,JHU-004430
1263,JHU-007646
1264,JHU-007644
1265,JHU-004172
1266,JHU-007658
1267,JHU-007638
1268,JHU-007659
1269,JHU-007628
1270,JHU-007652
1271,JHU-007656
1272,JHU-007645
1273,JHU-007669
1274,JHU-007637
1275,JHU-007651
1276,JHU-007636
1277,JHU-004482
1278,JHU-007650
1279,JHU-007643
1280,JHU-007642
1281,JHU-007648
1282,JHU-007670
1283,JHU-007657
1284,JHU-007664
1285,JHU-007631
1286,JHU-007639
1287,JHU-007654
1288,JHU-007667
1289,JHU-007629
1290,JHU-007632
1291,JHU-007662
1292,JHU-007665
1293,JHU-007661
1294,JHU-007655
1295,JHU-007663
1296,JHU-007630
1297,JHU-004504
1298,JHU-007653
1299,JHU-007641
1300,JHU-007668
1301,JHU-004513
1302,JHU-007649
1303,JHU-007625
1304,JHU-004424
1305,JHU-007640
1306,JHU-004481
1307,JHU-004151
1308,JHU-004592
1309,JHU-004229
1310,JHU-004421
1311,JHU-004213
1312,JHU-004227
1313,JHU-004244
1314,JHU-004156
1315,JHU-004170
1316,JHU-004245
1317,JHU-004214
1318,JHU-004443
1319,JHU-004239
1320,JHU-004210
1321,JHU-004497
1322,JHU-004480
1323,JHU-004197
1324,JHU-004578
1325,JHU-004489
1326,JHU-004610
1327,JHU-004565
1328,JHU-004218
1329,JHU-004191
1330,JHU-004600
1331,JHU-004451
1332,JHU-004509
1333,JHU-004498
1334,JHU-004433
1335,JHU-004453
1336,JHU-004483
1337,JHU-004494
1338,JHU-004575
1339,JHU-004609
1340,JHU-004173
1341,JHU-004434
1342,JHU-004163
1343,JHU-004519
1344,JHU-004472
1345,JHU-004203
1346,JHU-004595
1347,JHU-004186
1348,JHU-004193
1349,JHU-004175
1350,JHU-004455
1351,JHU-004198
1352,JHU-004608
1353,JHU-004568
1354,JHU-004238
1355,JHU-004579
1356,JHU-004205
1357,JHU-004223
1358,JHU-004199
1359,JHU-004601
1360,JHU-004491
1361,JHU-004429
1362,JHU-004231
1363,JHU-004586
1364,JHU-004171
1365,JHU-004243
1366,JHU-004427
1367,JHU-004478
1368,JHU-004161
1369,JHU-004188
1370,JHU-004220
1371,JHU-004506
1372,JHU-004431
1373,JHU-004572
1374,JHU-004174
1375,JHU-004216
1376,JHU-004593
1377,JHU-004194
1378,JHU-004570
1379,JHU-004242
1380,JHU-004237
1381,JHU-004613
1382,JHU-004599
1383,JHU-004580
1384,JHU-004192
1385,JHU-004209
1386,JHU-004488
1387,JHU-004582
1388,JHU-004499
1389,JHU-004484
1390,JHU-004164
1391,JHU-004155
1392,JHU-004502
1393,JHU-004571
1394,JHU-004240
1395,JHU-004232
1396,JHU-004162
1397,JHU-004495
1398,JHU-004459
1399,JHU-004211
1400,JHU-004583
1401,JHU-004496
1402,JHU-004206
1403,JHU-004224
1404,JHU-004200
1405,JHU-004584
1406,JHU-004441
1407,JHU-004219
1408,JHU-004607
1409,JHU-004569
1410,JHU-004577
1411,JHU-004157
1412,JHU-004181
1413,JHU-004573
1414,JHU-004196
1415,JHU-004187
1416,JHU-004225
1417,JHU-004508
1418,JHU-004185
1419,JHU-004545
1420,JHU-004566
1421,JHU-004233
1422,JHU-004492
1423,JHU-004448
1424,JHU-004167
1425,JHU-004574
1426,JHU-004152
1427,JHU-004166
1428,JHU-004588
1429,JHU-004221
1430,JHU-004511
1431,JHU-004154
1432,JHU-004602
1433,JHU-004452
1434,JHU-004160
1435,JHU-004474
1436,JHU-004178
1437,JHU-004176
1438,JHU-004605
1439,JHU-004234
1440,JHU-004567
1441,JHU-004507
1442,JHU-004184
1443,JHU-004153
1444,JHU-004640
1445,JHU-004493
1446,JHU-004204
1447,JHU-004177
1448,JHU-004426
1449,JHU-004236
1450,JHU-004587
1451,JHU-004471
1452,JHU-004159
1453,JHU-004435
1454,JHU-004195
1455,JHU-004585
1456,JHU-004557
1457,JHU-004510
1458,JHU-004463
1459,JHU-004368
1460,JHU-004581
1461,JHU-004487
1462,JHU-004169
1463,JHU-004207
1464,JHU-004165
1465,JHU-004479
1466,JHU-004241
1467,JHU-004168
1468,JHU-004235
1469,JHU-004432
1470,JHU-004201
1471,JHU-004179
1472,JHU-004202
1473,JHU-004230
1474,JHU-004437
1475,JHU-004467
1476,JHU-004189
1477,JHU-004465
1478,JHU-004222
1479,JHU-004629
1480,JHU-004616
1481,JHU-004370
1482,JHU-004618
1483,JHU-004547
1484,JHU-004325
1485,JHU-004678
1486,JHU-004544
1487,JHU-004538
1488,JHU-004387
1489,JHU-004343
1490,JHU-004591
1491,JHU-004365
1492,JHU-004353
